iteration,true_reward,run_id,env_name,noiseE,grid_type,expert_trajs,max_iter_num,num_of_NNs,seed,eta,gamma,use_memory_replay,buffer_size,batch_size,log_dir,z_std_multiplier,recompute_rewards
0,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
1,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
2,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
3,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
4,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
5,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
6,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
7,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
8,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
9,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
10,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
11,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
12,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
13,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
14,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
15,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
16,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
17,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
18,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
19,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
20,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
21,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
22,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
23,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
24,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
25,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
26,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
27,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
28,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
29,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
30,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
31,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
32,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
33,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
34,1.0,20241024-095940,CartPole-v1,0.0,1,assets/trajectories_CartPole-v1/expert_trajectories.pkl,100,5,5,10,0.99,True,200000.0,20000.0,runs_memory_replay_recompute,1.0,True
